uid,time,x_axis,y_axis,z_axis
18,2018-12-02,4.115845263,3.234106302,1.717989793
18,2018-12-03,-1.841167632,5.347791757,1.877560141
18,2018-12-04,-9.162598503,-0.072925354,0.445086594
18,2018-12-05,-3.523487939,2.840261042,3.083299789
18,2018-12-06,-4.321810231,1.249765451,-2.536438242
18,2018-12-07,2.357907373,3.061590555,-1.951074004
18,2018-12-08,5.235224355,0.43355946,-6.018372037
18,2018-12-09,-1.665791278,1.833327909,4.25626546
18,2018-12-10,-0.754404605,4.297859308,4.275258369
18,2018-12-11,2.331011632,2.308782561,3.142269754
18,2018-12-12,4.15795133,0.266039988,-5.831423365
18,2018-12-13,8.505490538,0.222876161,-3.680517584
18,2018-12-14,8.698818856,0.1621847,-2.583617072
18,2018-12-15,8.629416769,0.11178835,-2.983414058
18,2018-12-16,3.672318439,3.566944338,0.66759343
18,2018-12-17,5.062419991,0.057519032,4.778458623
18,2018-12-18,7.614817111,1.438971208,0.885229098
18,2018-12-19,6.826633161,1.191774805,1.919775756
18,2018-12-20,4.419853932,3.226857238,1.545041887
18,2018-12-21,2.314133488,1.580956788,0.256449786
18,2018-12-22,-5.389198898,0.650365323,3.514515397
18,2018-12-23,3.86167283,0.563408502,5.209306639
18,2018-12-24,4.172921955,3.001895883,0.504269649
18,2018-12-25,4.716128786,2.30411668,1.000983491
18,2018-12-26,6.968585207,1.632355128,1.054131222
18,2018-12-27,-2.797082032,0.165849779,4.731395116
18,2018-12-28,1.104164224,2.136047565,4.098130005
18,2018-12-29,3.558277111,0.48050877,-6.781115157
18,2018-12-30,3.513586792,0.117152524,4.785207535
18,2018-12-31,-8.797571041,-0.244341193,-2.191293024
18,2019-01-01,5.221954825,-0.195142903,-1.140672136
38,2018-12-01,1.918204065,-0.095678658,0.502170022
38,2018-12-02,-5.34610399,-0.28719304,3.977240128
38,2018-12-03,-4.527528397,0.260683726,3.921681214
38,2018-12-04,-8.940182295,-0.193896672,-1.057040328
38,2018-12-05,-8.81500828,-0.215682157,-1.899695129
38,2018-12-06,-8.86637736,-0.200869067,-1.695582006
38,2018-12-07,-9.038884172,-0.160878172,-0.291460456
38,2018-12-08,-8.976680879,-0.021629778,-0.027399957
38,2018-12-09,-8.794203852,-0.205152794,-2.021993143
38,2018-12-10,-8.867005982,-0.177436487,-1.821531488
38,2018-12-11,-8.842955822,-0.182257438,-1.701302672
38,2018-12-12,-8.793937483,-0.191428317,-2.026033243
38,2018-12-13,-7.217135817,1.170926545,-0.293417822
38,2018-12-14,1.460449209,0.178320864,8.320174669
38,2018-12-15,7.598094729,-0.007280181,0.215834015
38,2018-12-16,-6.212354431,-0.099152632,2.11747207
38,2018-12-17,-8.298980111,-0.245931716,-4.834393009
38,2018-12-18,-0.71736358,-0.027106463,8.869802071
38,2018-12-24,-8.769685038,-0.086501275,-2.180101046
38,2018-12-25,-6.564741519,-0.081303447,0.995853594
38,2018-12-27,5.291285127,-0.02838504,4.341875581
38,2018-12-28,8.999575904,0.016389414,0.637673126
38,2018-12-29,5.563601742,-0.037902827,3.393480083
38,2018-12-30,8.34209862,0.014730336,-3.855900454
38,2018-12-31,0.078632713,0.327774003,6.866080656
38,2019-01-01,8.626855667,-0.047866396,3.489156369
51,2018-12-01,6.515294319,0.216677032,4.606263345
51,2018-12-02,5.319399024,0.769958652,3.655390486
51,2018-12-03,-5.868313653,0.371896843,2.295527324
51,2018-12-04,-3.839957807,0.558113325,3.52122215
51,2018-12-05,8.78039739,-0.009881046,-2.117364293
51,2018-12-06,8.822987882,-0.006817613,-1.869425153
51,2018-12-07,4.501402359,0.65730587,3.970622916
51,2018-12-08,8.90564422,0.010395071,1.026285584
51,2018-12-09,5.15697046,0.327971204,4.309114577
51,2018-12-10,7.881111552,0.783504934,0.86234059
51,2018-12-11,6.380274442,0.460952132,3.265433397
51,2018-12-12,5.92479315,0.167675311,3.596698028
51,2018-12-13,4.696602235,0.361312104,3.345921583
51,2018-12-14,-5.863153549,0.027819719,3.432139872
51,2018-12-15,-9.331337642,-0.090328199,0.071198245
51,2018-12-16,-9.31001263,-0.092131579,0.057036795
51,2018-12-17,-2.253664279,1.068744447,6.122210709
51,2018-12-18,-9.411574564,-0.087822422,0.217377697
51,2018-12-19,-7.15296373,0.965030356,1.295279016
51,2018-12-20,6.613179985,0.500648024,2.517884824
51,2018-12-21,2.072821933,0.218876571,5.168882177
51,2018-12-22,-7.492530579,0.326716172,1.18784312
51,2018-12-23,-4.296247254,-0.061453184,0.633904614
51,2018-12-24,-2.503318085,0.796691744,0.981891295
51,2018-12-25,5.025208841,-0.081918252,4.359457431
51,2018-12-26,2.701448752,0.754737557,1.327928486
51,2018-12-27,-9.128255064,0.022205388,-0.988328162
51,2018-12-28,-2.800093297,0.541638821,4.775823629
51,2018-12-29,5.603012619,0.478363366,4.776400068
51,2018-12-30,7.886781221,0.003181504,2.813254431
51,2018-12-31,-3.630325825,-0.227894023,5.516277724
51,2019-01-01,4.78396714,-0.194441637,2.840912212
